,,有任何問題或建議歡迎在X上私訊，或寄信jacksontseng8495@gmail.com,,,,,,,,,,,,,,
1477,聚陽,紡織纖維,346.08,378.5,9.37%,520,37.38%,,,,,,933.74億,2024/9/11,元大,成衣產業接單狀況良好，後續訂單動能無虞
6782,視陽,生技醫療業,217,238,9.68%,300,26.05%,,,,,,149.94億,2024/9/11,元大,8月分營收創新高，隱形眼鏡持續受惠來自日本及中國的強勁動能
2727,王品,觀光餐旅,252.5,223,-11.68%,255,14.35%,,,,,,188.33億,2024/9/11,元大,
1795,美時,生技醫療業,273,270.5,-0.92%,335,23.84%,,,,,,718.15億,2024/9/11,元大,製藥產業有已上市重磅藥持續成長、新產品上市、併購等成長動能
2027,大成鋼,鋼鐵工業,39.6,33.6,-15.15%,44,30.95%,,,,,,817.91億,2024/9/11,元大,
2031,新光鋼,鋼鐵工業,58,57.9,-0.17%,75,29.53%,,,,,,185.94億,2024/9/11,元大,
9904,寶成,運動休閒,31,35.45,14.35%,42,18.48%,,,,,,1044.64億,2024/9/11,元大,
6446,藥華藥,生技醫療業,347,656,89.05%,,,,,,,,2238.25億,2024/9/11,元大,製藥產業有已上市重磅藥持續成長、新產品上市、併購等成長動能
6472,保瑞,生技醫療業,642,744,15.89%,880,18.28%,,,,,,755.53億,2024/9/11,元大,製藥產業有已上市重磅藥持續成長、新產品上市、併購等成長動能
2618,長榮航,航運業,31.95,37.85,18.47%,39,3.04%,,,,,,2046.77億,2024/9/11,元大,航空產業客貨運旺季帶動表現，看好後市持續成長
2327,國巨,電子零組件業,503,614,22.07%,607,-1.14%,42.74,50.65,18.51%,14.37x,14.2x,3116.24億,2024/9/2,MS,"3Q預測：Yageo（國巨）預計第3季營收將按季增長低個位數，毛利率和營業利潤率同樣預期按季小幅上升。在製程利用率（UTR）提升的情況下，第3季毛利率有望達到36%。
4Q預測：第4季因季節性因素，營收可能按季下降。
產能利用率 (UTR):標準產品的製程利用率目標在第3季末達到65%（第2季為50%+），高端產品的製程利用率在2024年下半年應能保持在70-75%之間，因為仍需消化部分庫存。
毛利率 (GM):鉭電容、R-chip和感測器的毛利率高於公司平均（40%+）。
AI伺服器的電感器需求量相較於一般伺服器至少增長5倍以上，多層陶瓷電容（MLCC）的需求也至少高出2-3倍。
中/低端電壓應用將使用鉭電容，而中/高端電壓應用的AI伺服器將使用MLCC、鋁電容或電解電容。
庫存情況大致健康，經銷商的庫存週期為2-3個月，EMS/ODM客戶的庫存週期為1-2個月。
部分全球主要經銷商的庫存達4-6個月（對其而言屬正常水平），但在汽車和工業應用中，當前庫存超過6個月，國巨預計2024年下半年將庫存水準降低到4-6個月。"
6415,矽力*-KY,半導體業,500,434,-13.20%,540,24.42%,6.38,15.26,139.18%,68.03x,84.6x,1670.96億,2024/8/30,凱基,"2Q24表現優於預期：矽力2Q24營收達46.2億元，季增20.1%，主要受消費性產品和計算機領域需求回升的帶動。毛利率上升至53.8%，使得EPS達1.46元，優於市場預期。
3Q24展望：公司預計計算機領域的成長會部分抵消消費性領域的平淡，但整體價格競爭的情況好轉。我們預估3Q24營收季增6%，毛利率達52.9%，EPS上調至1.94元。
2024全年營收上修至188.9億元：基於旺季效應、新產品放量推升ASP及毛利率增長、市占率提升等因素，預估2024全年營收年增22.5%，毛利率上修至53.1%，全年EPS預估為6.38元。
研發投入帶來新產品增長：公司過去的研發投入正逐漸發酵，新產品和製程升級將持續推升ASP和毛利率。
中國市場機遇：矽力在中國PMIC市場中居領導地位，市佔率持續提升，受益於中國半導體本地化趨勢。
自有製程技術：矽力擁有自有製程技術，能夠在全球多地生產，從而降低地緣政治風險。
風險因素：包括終端市場需求復甦不如預期及中國本地競爭加劇。"
2504,國產,建材營造業,28.15,51.5,82.95%,60,16.50%,4.13,3.5,-15.25%,12.47x,14.5x,608.88億,2024/8/30,台新,
1773,勝一,化學工業,134,#N/A,#N/A,200,#N/A,7.13,8,12.20%,#N/A,28.1x,#N/A,2024/8/30,國泰期,"先進製程演進：隨著晶圓清洗次數增加，預期電子級溶劑需求將長期增長。
營運回升：下游開工率回升，主要客戶營收占比持續提高，加上儲槽投資的效益發酵，預計從4Q24起，營收與獲利將回到季增年增。
新品發展：7nm電子級溶劑銷售量在2H24進一步提高，5nm產品認證接近尾聲，營運動能預計回升。預估2024/25年EPS分別為7.15元和8.00元。基於歷史相似獲利水準的評價，初次給予買進建議，目標價為200元（25倍2025年EPS）。
產業趨勢：隨著先進製程演進，晶圓清洗次數增加，電子級半導體溶劑需求將同步增長。此外，半導體庫存調整至正常水準，下游開工率提升，7nm溶劑需求預期在2H24進一步增長，5nm產品認證即將完成。
投資擴產：公司投資高雄洲際碼頭二期，擴大儲槽容量至8.3萬kL，並計劃在2024年動工新PM二廠，年產能8萬噸，預計2027年完工並於2028年投產。
PO原料價格：中國化工廠進入擴產期，原料PO價格保持低檔，對勝一的電子級溶劑獲利有利。
營收與獲利成長：預估2024/25年營收分別為108億元和116億元，年增10%和7%；EPS分別為7.15元和8.00元，年增13%和12%。
成立與業務：勝一成立於1979年，主要生產和銷售各式溶劑，擁有九個廠區和三個化學品儲運中心。其電子級溶劑營收占比約60%，工業級溶劑占比20%，原物料買賣占比15%。
清洗次數增加：隨著製程節點縮小，清洗次數增加，對電子級半導體溶劑的需求增長。清洗溶劑PGMEA在半導體和OLED/LCD產業中應用廣泛。
市場主要供應商：台灣市場的清洗溶劑主要由勝一和長春集團提供。勝一計劃增建年產能8萬噸的PM二廠，以應對未來需求。"
6706,惠特,光電業,66.8,169.5,153.74%,180,6.19%,-2.69,6.1,-326.77%,-63.01x,-66.9x,125.08億,2024/8/16,元富,"LED及MiniLED歷程：惠特公司過去專注於LED、MicroLED和雷射二極體（LD）測試設備，並提供代工服務。隨著MiniLED的需求興衰，公司目前正在轉型，進入半導體、PCB及CPO等新領域。
COWOS設備代工：惠特承接了國內COWOS後段設備大廠的訂單，預計從2024年10月開始出貨。該業務預期規模將超越過去MiniLED的規模，元富證券預估代工業務金額可達20億元以上，淨利率在10%到15%之間，對EPS的貢獻約在2.7元至4元之間。
DI成像設備：該設備應用於高密度PCB（HDI）及IC載板產業。惠特預計將於10月的PCB展推出該設備，並且預計明年會接到10至20台的訂單，每台產值在0.15億元到0.2億元之間。這是公司自行設計的設備，毛利率達30%到40%，對EPS的貢獻在0.4元到0.8元之間。
CPO設備：惠特在LED測試及雷射光源檢測方面有豐富經驗，並且在MiniLED點測及挑選設備方面也具備高度精準的製造能力。隨著CPO市場的興起，惠特有機會在光纖與IC貼合設備等領域取得更多商機。
重返獲利軌道：隨著COWOS代工設備的量產及CPO和DI成像設備的推進，公司預期在2024年第四季將實現虧轉盈，並在2025年重返獲利成長軌道。
營收結構：2024年上半年營收結構中，設備占比30%，代工業務占比61%，其他9%。隨著COWOS後段設備代工及自有品牌設備如CPO和DI成像設備的發展，公司預期2025年設備業務占比將提升至60%至70%。"
9958,世紀鋼,鋼鐵工業,176.5,244,38.24%,273,11.89%,11.01,14.38,30.61%,22.16x,24.8x,626.83億,2024/8/15,永豐,"客戶與競爭對手：主要客戶包括CIP、沃旭與達德能源；競爭對手為台朔重工、興達海洋基礎等。
現有產能：Jacket月產3-4組，計劃建設3座擎天塔，預計到2025年底產能進一步提升。
計劃進展：2024年第三季完成第二座擎天塔，增加1組JK產能，2025年底完成第三座，月產能再增加1組。
全球風電市場：2024-2028年全球風電年均新增裝機量27.6GW，台灣預計在2026-2035年新增15GW容量。
台灣發展：截至2023年底台灣已安裝283座風力機，目標2024年安裝314-374座。"
3711,日月光投控,半導體業,134.5,154.5,14.87%,200,29.45%,7.9,15.22,92.66%,19.56x,25.3x,6782.82億,2024/7/26,富邦,"2Q24 財報：EPS 為 1.80 元，稍低於富邦先前預測的 1.96 元，但高於市場普遍預期的 1.58 元。2Q24 營收達 1,400 億元，主因 EMS 客戶提前放量帶動。封測業務 (ATM) 和電子代工服務 (EMS) 營收分別較前季成長 5% 和 6%。2Q24 毛利率上升至 16.4%，封測毛利率進一步提升至 22.1%。
3Q24 展望：ATM 營收預計逐季成長高個位數百分比，EMS 營收逐季成長中高個位數百分比。3Q24 營收預估達 1,570 億元，QoQ+12%，YoY+2%。
2025 年成為關鍵 AI 供應商
台積電需求強勁：2025 年台積電預計更積極建置 CoWoS 產能，日月光將與台積電合作，建置 CoWoS 產能。台積電將大部分 oS (載板封裝) 生產委外給日月光，增加日月光的業務量。
資本支出增加：日月光的資本支出將增加一倍，用於 CoWoS 產能建置。FY25 日月光將受惠於台積電增加 oS 業務外包，預估先進封裝營收至少佔 10%。
矽品競爭：矽品涉足 CoW 業務，預計最早於 2026 年成為另一成長動能。
EPS 預估：富邦對 FY24/FY25 的 EPS 預估分別為 7.90 元和 15.22 元，反映日月光產品組合有利和毛利率進一步改善。"
3533,嘉澤,電子零組件業,1075,1395,29.77%,1850,32.62%,78.46,96.94,23.55%,17.78x,23.6x,1569.86億,2024/7/25,MS,
4968,立積,半導體業,185,181,-2.16%,288,59.12%,2.41,6,148.96%,75.1x,119.5x,163.67億,2024/7/25,MS,"2Q24財報亮點:營收增長：2Q24營收環比增長18%。毛利率 (GM)：提升至35.8%（1Q24為32%），主要原因是產品組合優化。營業利潤率 (OM)：提升至7.5%（1Q24為0%），得益於更好的營運槓桿。
強勁的營收動能：預計2025-2026年將有強勁的營收動能，主要受益於即將到來的WiFi 7升級週期以及與三星、聯發科和高通的三大業務合作。
動能:WiFi 7採用率快於預期。WiFi FEM採用率快於預期。新產品享有更高的利潤率。
下行風險:WiFi 7採用未如預期般迅速。來自中國本地RF半導體玩家的競爭加劇。WiFi FEM採用率低於預期。供應商的產能支持不具持續性。客戶對新產品的採用速度慢於預期。"
2385,群光,電子零組件業,175.5,162.5,-7.41%,198,21.85%,11.12,12.25,10.16%,14.61x,17.8x,1235.09億,2024/7/19,群益,"2Q24營收：246.74億元，QoQ+8%、稅後淨利：20.3億元，QoQ+15.2%、稅後EPS：2.67元
原因：產品組合較佳，毛利率與營業利益率預期優於1Q24
鍵盤輸入裝置2024年營收預估：YoY+13.9%
2023年營收：YoY-18%，營收比重33%
2024年營收比重預估：35.8%
趨勢與產品：
高單價產品如電競用鍵盤、NB LED背光鍵盤、Tablet外接式鍵盤，AI PC趨勢利於鍵盤更新需求，NB背光鍵盤滲透率持續提升
影像產品:2024年營收預估：與2023年持平
2023年營收：YoY-11%，營收比重27%
2024年營收比重預估：25.7%
趨勢與產品：
包括NB Cam Module、DV、穿戴式DV、Web Cam等
新產品（如高階商用監控、車隊管理駕駛監測系統、智慧影音會議系統等）於2H21陸續出貨，AI PC趨勢利於Camera Module產品規格提升，持續優化產品組合，爭取高附加價值產品訂單，減少承接獲利不佳的產品，提升毛利率"
4953,緯軟,資訊服務業,#N/A,115.5,#N/A,145,25.54%,8.07,9.03,11.90%,14.31x,18x,#N/A,2024/7/19,群益,
6768,志強-KY,運動休閒,67,104.5,55.97%,105,0.48%,7.6,8.5,11.84%,13.75x,13.8x,204.87億,2024/7/19,宏遠,
3035,智原,半導體業,355.06,256,-27.90%,413,61.33%,7.25,12.52,72.69%,35.31x,57x,667.01億,2024/7/17,中信,"營收符合預期：2Q24 營收26.49 億元，環比增長2.7%，符合預期。
NRE 營收挹注：雖然太陽能、工廠、自動化等量產客戶持續調整庫存，但 MCU 需求轉佳。
掌握關鍵產能：智原掌握 Interposer 和 HBM 產能。合作夥伴：聯電、三星（通過台灣代理商）及封測廠。投資策略：通過子公司勝邦投資擎亞 SEMI Korea Corporation 的可轉換 A 種特別股，投資金額不超過3,000 萬美元。
2025 年 AI 營收佔比提升：預計 2025 年 AI 營收佔比將顯著提升，主要因為 AI 晶片量產和封測廠產能瓶頸逐步解決。
產能開出：封測廠的 CoWoS 產能在 2H24 逐步開出，AI 晶片在 4Q24 量產。
庫存調整完畢：預計 2024 年客戶庫存調整完畢。
營運復甦：2024 年 MP 營收預計年減 10%，但 2025 年 MP 營收預計年增逾 50%。"
2356,英業達,電腦及週邊設備業,53,43.05,-18.77%,62,44.02%,2.69,3.47,29.00%,16x,23x,1544.41億,2024/7/15,凱基,"公司展望2024年伺服器營收年增雙位數，略優於先前年增約15%的預期，且伺服器出貨量預期將於3Q24達到全年高峰。2024年筆電出貨量年增個位數的展望穩定，智慧裝置業務亦將受新客戶挹注，年增高個位數。
2Q24 營運亮點：
筆電出貨：季增9%至490萬台，優於公司預期。主要原因包括客戶提前拉貨及部分標案提前交付。
伺服器營收：季增近20%，主要受陸系CSP海外資料中心AI伺服器需求及企業端需求回暖所致。
3Q24 展望
筆電出貨：預期季持平於490萬台，受2Q24基期較高影響，且全年出貨量預期年增個位數。
伺服器營收：預期3Q24為2024年伺服器出貨高峰，4Q24可能季持平。
2024 年展望
營收增長：預期年增13%，伺服器業務年增雙位數，智慧裝置業務年增高個位數。毛利率與營利率：分別年增0.4ppts及0.7ppts至5.5%與2.1%。EPS：預估年增57%至2.69元。
伺服器業務：預期B系列新平台將自4Q24起開始出貨，並於1H25推出「變形金剛」設計伺服器。墨西哥廠進入量產，L10形式出貨佔比將增加，預期帶動AI伺服器專案。
筆電業務：預期2025年筆電出貨量將因Intel及AMD AI PC解決方案上市而增長。Qualcomm推出較為平價的Windows on ARM解決方案，預期2025年出貨量增長。商務型筆電Wins 12換機需求將帶動需求增長。
智慧裝置業務：2024年智慧裝置業務年增高個位數，新客戶挹注營收。"
2383,台光電,電子零組件業,382,460,20.42%,536,16.52%,26.79,,,17.17x,20x,1584.98億,2024/7/15,華南,"新客戶及新應用產品預期能保持高市占率，受惠伺服器、交換器及5G電信產品需求。
高效能運算產品成為市場趨勢，帶動伺服器及交換器產品材料出貨量上升，提升獲利。
2024年第一季獲利創新高： 因伺服器、高階網通產品及5G電信材料出貨大增，產能接近全產全銷。
2025年底總產能提升至550萬張： 目前產能430萬張/月，預計2025年底提升至550萬張/月，2024年資本支出84億元。
受惠亞馬遜伺服器出貨： 輝達GB200 NVLink交換器板主要供應商，預計亞馬遜Trainium2 ASIC伺服器下半年出貨帶動獲利成長。
2024年營收及EPS預估：營收：576.4億元、稅後EPS：26.79元、毛利率：29.8%、營益率：20.6%
擴展地點： 馬來西亞、台灣及中國三地
主要客戶及應用： 輝達、亞馬遜伺服器、AI晶片、電動車市場"
6743,安普新,其他電子業,51.9,63.9,23.12%,100,56.49%,4.15,6.21,49.64%,15.4x,24.1x,95.85億,2024/7/15,群益,"耳機客戶回補庫存帶動2024年營運成長。預期IP-Cam與手機搖桿將接力帶動2025年營收增溫，營收及獲利皆持續成長。
2Q24 業績回顧:營收：17.97 億元 QoQ +56.97% EPS：0.81 元
全球電競耳機產業經歷1.5年的庫存調整，目前銷售通路終端庫存水位已低。兩大電競耳機品牌廠商持續對新品建立庫存，成為主要動能。
音樂TWS耳機進入新品鋪貨期，北美潮牌音樂耳機新款TWS啟動拉貨，成為另一成長動能。營收規模擴增帶動毛利率較1Q24好轉，預估稅後淨利1.21億元。
3Q24 展望:營收：25.24 億元 QoQ +40.47% EPS：2.39 元 歐美年底長假來臨，全球電競、音樂耳機廠商紛紛發表新款產品。
電競耳機、頭戴式音樂耳機及TWS耳機皆有新品出貨。預期耳機出貨將進入全年最旺季，產能利用率提升帶動毛利率向上，預估稅後淨利3.58億元。
2024 年展望:營收：75.30 億元 YoY +95.00% EPS：4.15 元 耳機客戶庫存已到三年低點，受惠於客戶發表新品並啟動庫存回補。電競耳機與TWS耳機營收預期成長。
IP-Cam客戶陸續發表新產品，出貨自2Q24開始轉強，帶動出貨逐季增溫。4Q24將生產新款iPhone Type-C介面搖桿，進一步推升營收表現。
IP-Cam：美國品牌客戶將安全監控設備移出中國，台灣安控業者受惠。美國客戶要求部分產能移出台灣，公司越南廠受惠。庫存調整告一段落，美系客戶新產品發表，預期出貨自2H24轉強。
手機搖桿：客戶要求產線移出中國，公司成本競爭力優
取得訂單，4Q23起生產舊款產品，4Q24生產新款iPhone Type-C介面搖桿。預期隨iPhone換機潮，搖桿出貨量提升，帶動營收成長。"
3008,大立光,光電業,2860,2585,-9.62%,3700,43.13%,187.85,205.36,9.32%,13.76x,19.7x,3450.15億,2024/7/12,國票,"營收表現： 2Q24 營收為109.85億元，較前季下降2.90%，但比去年同期增長34.06%，超出市場預期。
盈利能力： 毛利率為48.39%，略微下滑，主要因產品組合轉變影響。業外收益為19.16億元，包括利息收入和其他業外收入，稅後淨利為44.98億元，每股盈餘為33.70元。
產品趨勢與市場需求： 預期蘋果高階手機將採用潛望式鏡頭，加上新產能投入，使得未來產品供應能力滿足市場需求。
2024年展望： 預計全年營收將有顯著增長，尤其是在手機鏡頭產品方面，隨著iPhone 16 Pro系列的推出和市場需求的增加，公司預估年底出貨量約為9800萬支。
長期策略： 公司將持續優化學習曲線和提高產能利用率，預期毛利率在50%以上，並進一步擴展產品線以應對市場需求的多樣化。"
3665,貿聯-KY,其他電子業,267,466.5,74.72%,470,0.75%,20.84,28.47,36.61%,22.38x,22.6x,811.57億,2024/7/12,群益,"EPS預估：2025年稅後EPS為28.47元，稀釋後EPS為24.24元。
庫存調整接近尾聲，營收回升
1Q24營收：124.26億元，QoQ+1.9%；毛利率回升至26.3%，營業利益率8.9%；稅後淨利5.81億元，QoQ+14.3%，稅後EPS為3.55元。
2Q24營收預估：130.92億元，QoQ+5.4%；稅後淨利8.57億元，QoQ+47.6%，稅後EPS為5.25元。
成長動能強的領域
客製化產品：主要成長動能來自侵入式與手術相關醫療領域、先進半導體設備領域，預期2024年營收YoY+20%。
半導體設備：成長動能來自成熟製程設備，記憶體廠商需求提升，預期2024年營收YoY+20%。
HPC領域：主要成長動能為Active Electrical Cable (AEC)，與Credo合作，為獨家連接線供應商，用於美系CSP廠商ASIC AI加速器，2024年新增另一家CSP廠商，預期2025年持續有客戶加入。1Q24營收比重13%~14%，4Q24有機會達到20%，預期2024年營收YoY+40%。
GB200產品系列預期2025年營收貢獻顯著
產品用途：機內高速傳輸連接線、Rack Busbar、inner Busbar、Power whip，部分產品為某些客戶的獨家供應商。
營收貢獻：2024年貢獻較低，預期2025年將有顯著貢獻。"
1609,大亞,電器電纜,32.76,50.1,52.93%,64,27.74%,1.68,2.07,23.21%,29.82x,38.1x,387.6億,2024/7/11,群益,"強韌電網預算：2024年預算上升至636.2億元，YoY +46.32%；2025年創高。
台電資本支出：2024年上升至1,140億元，YoY +42.14%；2025年創高。
市場需求：受惠於5,645億元強韌電網計畫及其他能源政策，帶動電線電纜需求成長。
營運預測：2024年營收290.35億元，YoY +9.83%；稅後純益12.35億元，YoY -55.28%；EPS 1.68元。
強韌電網預算加速：因應跳電事故頻傳，經濟部加速強韌電網預算執行，重點在地線和電纜預算。
設備汰換：強韌電網十年總值至少1,005億元，預計加速執行地線和電纜預算，帶動未來營運增強。
綠電交易成長：1H24已交易24,260張綠電憑證，達2023全年的93.2%。
未來併網計劃：2025-2026年間共有225MW光電、100MW儲能併網。
綠電需求：製造業RE100需求增加，綠電交易市場供不應求，預期成為長期營運成長動能之一。
2025年預測：營收327.02億元，YoY +12.63%；稅後純益15.26億元，YoY +23.53%；EPS 2.07元。"
1736,喬山,運動休閒,69.2,127.5,84.25%,124,-2.75%,6.39,,,19.95x,19.4x,387.11億,2024/7/11,華南,
